id,author_sort,title,isbn,identifiers,series,series_index,uuid
"1","Banks, Iain M.","Consider Phlebas","9780316005388","isbn:9780316005388,mobi-asin:d99cd67f-d445-4bd5-a77a-47d339ae5ca5,google:KRh4lwEACAAJ,amazon:031600538X","Culture","1.0","dcae77bc-9669-42fc-b38b-9343acce0c84"
"2","Yudkowsky, Eliezer","Harry Potter and the Methods of Rationality","","google:vrPQAwAAQBAJ,goodreads:10016013,mobi-asin:d28fa789-bae9-43ac-8b22-fde0d2c0ef93","","1.0","19767b93-6737-4af1-ba8f-3e4144a736a8"
"3","Vinge, Vernor","Rainbows End","9780812536362","isbn:9780812536362,barnesnoble:w/rainbows-end-vernor-vinge/1100354026,amazon:B004M8SR2O,google:WT-OXLZE2m8C,mobi-asin:33d21a6c-8cd1-47de-8a9e-4bada7f27529,goodreads:102439","","1.0","dd79feb7-7536-4429-9446-f96c909cb0c5"
"4","Suarez, Daniel","Kill Decision","9780451417701","mobi-asin:B0073XV2W2,isbn:9780451417701,google:Mw1PmllcFFoC,amazon:0451417704","","1.0","a6b44563-757d-40c0-9281-b988427a13ad"
"5","Suarez, Daniel","Freedom","9780451231895","google:zN2jdEB8Jj0C,isbn:9780451231895,amazon:0451231899","Daemon","2.0","f7aea10a-adb0-4727-868a-9e3fc594e5ce"
"6","Suarez, Daniel","Daemon","9783499256431","isbn:9783499256431,google:nJMyRP0VMfQC,mobi-asin:B0038QN2AS,amazon:3499256436","Daemon","1.0","9d402b0a-e41d-4dd9-8b03-05cc16b341b5"
"7","Banks, Iain M.","The Player of Games","9780316005401","google:8l28HAAACAAJ,amazon:0316005401,isbn:9780316005401","Culture","2.0","9391b96c-0fb8-40c3-9791-b61b38b6d338"
"9","Banks, Iain M. & Edwards, Les","The State of the Art","9781597800747","amazon:1597800740,google:QFJyAAAACAAJ,mobi-asin:B00371V6PW,isbn:9781597800747","Culture","4.0","c94f14ec-871f-4b15-8987-ffb6cac11210"
"10","O'Brian, Patrick","The Mauritius Command","9780393307627","barnesnoble:w/mauritius-command-patrick-obrian/1003872474,isbn:9780393307627,mobi-asin:9a874cd9-e6aa-4ddd-b5e0-3354144ad85a,google:bJy__EE_D-YC,amazon:039330762X,goodreads:325705","Aubrey & Maturin","4.0","1b9fbc4f-3219-4bb2-a000-c5dbc24a0f4b"
"12","O'Brian, Patrick","Post Captain","9780393307061","mobi-asin:96921424-9a24-4444-9fff-aba65b2d4748,barnesnoble:w/post-captain-patrick-obrian/1100871638,isbn:9780393307061,google:S761k-z51Q4C,amazon:0393307069,goodreads:17768","Aubrey & Maturin","2.0","8875c00b-c41e-49ac-818d-545395cb82b9"
"13","Hughes, Sam","Ra","","mobi-asin:09b6d108-4e1e-4945-bad9-ac85f4e5af51","","1.0","db85d51a-3c98-41eb-9db1-58752f2b29ab"
